name,pos,mlbam_id,season,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Alex Call,RF,669743,2022,vs LHP,24,52,48,9,1,1,1,3,4,13,0,0.188,0.25,0.313,0.563,0.235,15,0,0,0,0
Alex Call,RF,669743,2022,vs LHP,4,7,5,2,0,0,0,0,2,1,0,0.4,0.571,0.4,0.971,0.5,2,0,0,0,0
Alex Call,RF,669743,2022,vs LHP,28,59,53,11,1,1,1,3,6,14,0,0.208,0.288,0.321,0.609,0.263,17,0,0,0,0
Alex Call,RF,669743,2022,vs RHP,7,9,7,0,0,0,0,0,2,3,0,0.0,0.222,0.0,0.222,0.0,0,0,0,0,0
Alex Call,RF,669743,2022,vs RHP,29,63,54,16,2,0,4,10,7,13,0,0.296,0.397,0.556,0.953,0.324,30,0,0,2,0
Alex Call,RF,669743,2022,vs RHP,36,72,61,16,2,0,4,10,9,16,0,0.262,0.375,0.492,0.867,0.293,30,0,0,2,0
Alex Call,RF,669743,2023,vs LHP,74,159,135,34,7,0,4,14,22,27,0,0.252,0.352,0.393,0.745,0.283,53,2,0,0,0
Alex Call,RF,669743,2023,vs RHP,105,280,240,41,7,1,4,24,31,51,0,0.171,0.282,0.258,0.54,0.2,62,0,3,6,0
Alex Call,RF,669743,2024,vs LHP,16,36,31,9,1,0,2,6,4,8,0,0.29,0.389,0.516,0.905,0.333,16,0,0,1,0
Alex Call,RF,669743,2024,vs RHP,24,77,68,25,8,0,1,8,8,11,0,0.368,0.442,0.529,0.971,0.429,36,0,0,1,0
Alex Call,RF,669743,2025,vs LHP,38,81,70,22,3,0,2,11,6,12,0,0.314,0.359,0.443,0.802,0.345,31,2,3,0,0
Alex Call,RF,669743,2025,vs LHP,22,38,35,8,2,0,2,4,2,10,0,0.229,0.263,0.457,0.72,0.25,16,1,0,0,0
Alex Call,RF,669743,2025,vs LHP,60,119,105,30,5,0,4,15,8,22,0,0.286,0.328,0.448,0.776,0.317,47,3,3,0,0
Alex Call,RF,669743,2025,vs RHP,19,47,38,10,2,0,0,1,8,9,0,0.263,0.391,0.316,0.707,0.345,12,0,1,0,0
Alex Call,RF,669743,2025,vs RHP,55,156,127,32,6,2,1,15,20,24,0,0.252,0.377,0.354,0.731,0.301,45,1,2,6,0
Alex Call,RF,669743,2025,vs RHP,74,203,165,42,8,2,1,16,28,33,0,0.255,0.38,0.345,0.725,0.311,57,1,3,6,0
Alex Freeland,2B,690976,2025,vs LHP,9,16,14,2,0,0,0,0,2,8,0,0.143,0.25,0.143,0.393,0.333,2,0,0,0,0
Alex Freeland,2B,690976,2025,vs RHP,28,81,70,14,2,1,2,6,9,27,0,0.2,0.3,0.343,0.643,0.293,24,0,1,1,0
Andy Pages,CF,681624,2024,vs LHP,55,107,98,35,7,0,3,9,7,24,0,0.357,0.396,0.52,0.916,0.444,51,1,0,0,0
Andy Pages,CF,681624,2024,vs RHP,108,336,305,65,16,1,10,37,22,84,0,0.213,0.277,0.37,0.647,0.257,113,3,0,6,0
Andy Pages,CF,681624,2025,vs LHP,85,154,147,46,8,0,3,16,6,35,0,0.313,0.344,0.429,0.773,0.394,63,0,0,1,0
Andy Pages,CF,681624,2025,vs RHP,149,470,434,112,19,1,24,70,23,100,0,0.258,0.302,0.472,0.774,0.278,205,6,0,7,0
Dalton Rushing,C,687221,2025,vs LHP,25,41,35,6,0,0,0,6,3,15,0,0.171,0.244,0.171,0.415,0.273,6,2,0,1,0
Dalton Rushing,C,687221,2025,vs RHP,47,114,107,23,5,0,4,18,7,43,0,0.215,0.263,0.374,0.637,0.317,40,0,0,0,0
Freddie Freeman,1B,518692,2015,vs LHP,75,138,114,25,8,0,1,13,20,39,0,0.219,0.341,0.316,0.657,0.316,36,2,0,2,0
Freddie Freeman,1B,518692,2015,vs RHP,103,343,302,90,19,0,17,53,36,59,0,0.298,0.382,0.53,0.912,0.323,160,0,0,5,4
Freddie Freeman,1B,518692,2016,vs LHP,103,226,193,58,14,3,7,24,21,64,0,0.301,0.389,0.513,0.902,0.408,99,3,0,9,1
Freddie Freeman,1B,518692,2016,vs RHP,145,467,396,120,29,3,27,67,68,107,0,0.303,0.405,0.596,1.001,0.352,236,2,0,1,17
Freddie Freeman,1B,518692,2017,vs LHP,73,143,126,35,7,0,8,20,12,33,0,0.278,0.357,0.524,0.881,0.314,66,1,0,4,1
Freddie Freeman,1B,518692,2017,vs RHP,107,371,314,100,28,2,20,51,53,62,0,0.318,0.42,0.611,1.031,0.343,192,1,0,3,13
Freddie Freeman,1B,518692,2018,vs LHP,108,234,204,63,11,2,10,37,25,47,0,0.309,0.393,0.529,0.922,0.358,108,1,0,4,3
Freddie Freeman,1B,518692,2018,vs RHP,145,473,414,128,33,2,13,61,51,85,0,0.309,0.385,0.493,0.878,0.358,204,5,0,3,9
Freddie Freeman,1B,518692,2019,vs LHP,86,175,161,41,6,0,8,24,11,44,0,0.255,0.309,0.441,0.75,0.3,71,1,0,2,0
Freddie Freeman,1B,518692,2019,vs RHP,151,517,436,135,28,2,30,97,76,83,0,0.31,0.416,0.589,1.005,0.324,257,1,0,4,11
Freddie Freeman,1B,518692,2020,vs LHP,34,62,53,13,3,0,1,8,9,13,0,0.245,0.355,0.358,0.713,0.308,19,0,0,0,0
Freddie Freeman,1B,518692,2020,vs RHP,57,200,161,60,20,1,12,45,36,24,0,0.373,0.495,0.733,1.228,0.384,118,0,0,3,7
Freddie Freeman,1B,518692,2021,vs LHP,97,192,171,44,6,1,7,20,16,31,0,0.257,0.333,0.427,0.76,0.276,73,1,0,4,0
Freddie Freeman,1B,518692,2021,vs RHP,151,503,429,136,19,1,24,63,69,76,0,0.317,0.416,0.534,0.95,0.339,229,1,0,4,15
Freddie Freeman,1B,518692,2022,vs LHP,96,201,180,53,13,1,5,24,17,43,0,0.294,0.363,0.461,0.824,0.361,83,1,0,3,0
Freddie Freeman,1B,518692,2022,vs RHP,151,507,432,146,34,1,16,76,67,59,0,0.338,0.424,0.532,0.956,0.358,230,6,0,2,12
Freddie Freeman,1B,518692,2023,vs LHP,99,218,197,66,18,0,12,39,15,40,0,0.335,0.399,0.609,1.008,0.372,120,0,0,6,0
Freddie Freeman,1B,518692,2023,vs RHP,149,512,440,145,41,2,17,63,57,81,0,0.33,0.414,0.548,0.962,0.369,241,5,0,10,12
Freddie Freeman,1B,518692,2024,vs LHP,104,223,192,48,11,1,7,28,20,34,0,0.25,0.332,0.427,0.759,0.263,82,5,0,6,1
Freddie Freeman,1B,518692,2024,vs RHP,133,415,350,105,24,1,15,61,58,66,0,0.3,0.402,0.503,0.905,0.331,176,3,0,4,8
Freddie Freeman,1B,518692,2025,vs LHP,97,175,158,45,9,1,8,19,14,42,0,0.285,0.349,0.506,0.855,0.339,80,1,0,2,1
Freddie Freeman,1B,518692,2025,vs RHP,142,452,398,119,30,1,16,71,46,86,0,0.299,0.374,0.5,0.874,0.343,199,4,0,4,6
Hyeseong Kim,2B,808975,2025,vs LHP,18,21,21,8,1,0,1,3,0,8,0,0.381,0.381,0.571,0.952,0.583,12,0,0,0,0
Hyeseong Kim,2B,808975,2025,vs RHP,56,149,140,37,5,1,2,14,7,44,0,0.264,0.304,0.357,0.661,0.372,50,0,1,1,0
Kyle Tucker,RF,663656,2018,vs LHP,11,15,11,4,1,0,0,0,2,2,0,0.364,0.533,0.455,0.988,0.444,5,0,0,2,0
Kyle Tucker,RF,663656,2018,vs RHP,24,57,53,5,1,1,0,4,4,11,0,0.094,0.158,0.151,0.309,0.119,8,0,0,0,0
Kyle Tucker,RF,663656,2019,vs LHP,14,28,27,8,3,0,1,5,0,6,0,0.296,0.321,0.519,0.84,0.35,14,0,0,1,0
Kyle Tucker,RF,663656,2019,vs RHP,21,44,40,10,3,0,3,6,4,14,0,0.25,0.318,0.55,0.868,0.304,22,0,0,0,1
Kyle Tucker,RF,663656,2020,vs LHP,39,73,69,15,1,1,4,11,4,13,0,0.217,0.26,0.435,0.695,0.212,30,0,0,0,0
Kyle Tucker,RF,663656,2020,vs RHP,55,155,140,41,11,5,5,31,14,33,0,0.293,0.355,0.55,0.905,0.35,77,1,0,0,2
Kyle Tucker,RF,663656,2021,vs LHP,91,202,185,53,11,2,13,44,14,25,0,0.286,0.332,0.578,0.91,0.267,107,3,0,0,0
Kyle Tucker,RF,663656,2021,vs RHP,124,365,321,96,26,1,17,48,39,65,0,0.299,0.375,0.545,0.92,0.328,175,2,0,1,5
Kyle Tucker,RF,663656,2022,vs LHP,103,223,206,47,8,0,13,47,15,32,0,0.228,0.279,0.456,0.735,0.21,94,1,0,0,0
Kyle Tucker,RF,663656,2022,vs RHP,135,386,338,93,20,1,17,60,44,63,0,0.275,0.359,0.491,0.85,0.293,166,1,0,1,4
Kyle Tucker,RF,663656,2023,vs LHP,109,238,210,63,14,3,12,47,22,28,0,0.3,0.367,0.567,0.934,0.295,119,3,0,2,0
Kyle Tucker,RF,663656,2023,vs RHP,144,436,364,100,23,2,17,65,58,64,0,0.275,0.37,0.489,0.859,0.286,178,7,0,1,9
Kyle Tucker,RF,663656,2024,vs LHP,63,124,103,27,6,0,5,16,19,20,0,0.262,0.374,0.466,0.84,0.278,48,1,0,0,0
Kyle Tucker,RF,663656,2024,vs RHP,73,215,174,53,7,0,18,33,37,34,0,0.305,0.427,0.655,1.082,0.285,114,1,0,1,3
Kyle Tucker,RF,663656,2025,vs LHP,108,193,167,45,6,1,8,28,23,31,0,0.269,0.365,0.461,0.826,0.289,77,0,0,2,0
Kyle Tucker,RF,663656,2025,vs RHP,125,404,333,88,19,3,14,45,64,57,0,0.264,0.383,0.465,0.848,0.279,155,3,1,2,7
Max Muncy,3B,571970,2015,vs LHP,2,2,1,0,0,0,0,0,1,1,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0
Max Muncy,3B,571970,2015,vs RHP,41,110,101,21,8,1,3,9,8,30,0,0.208,0.264,0.396,0.66,0.261,40,1,0,0,0
Max Muncy,3B,571970,2016,vs LHP,3,5,5,1,0,0,0,1,0,1,0,0.2,0.2,0.2,0.4,0.25,1,0,0,0,0
Max Muncy,3B,571970,2016,vs RHP,48,128,108,20,2,0,2,7,20,23,0,0.185,0.313,0.259,0.572,0.217,28,0,0,0,1
Max Muncy,3B,571970,2018,vs LHP,72,119,102,26,4,0,8,16,15,36,0,0.255,0.361,0.529,0.89,0.31,54,0,0,2,2
Max Muncy,3B,571970,2018,vs RHP,123,362,293,78,13,2,27,63,64,95,0,0.266,0.401,0.601,1.002,0.295,176,2,0,3,4
Max Muncy,3B,571970,2019,vs LHP,89,181,157,42,6,1,11,38,19,52,0,0.268,0.365,0.529,0.894,0.33,83,0,0,5,0
Max Muncy,3B,571970,2019,vs RHP,125,408,330,80,16,0,24,60,71,97,0,0.242,0.377,0.509,0.886,0.263,168,4,0,3,1
Max Muncy,3B,571970,2020,vs LHP,41,80,67,16,1,0,4,10,12,17,0,0.239,0.363,0.433,0.796,0.261,29,0,0,1,0
Max Muncy,3B,571970,2020,vs RHP,55,168,136,23,3,0,8,17,27,43,0,0.169,0.315,0.368,0.683,0.172,50,2,0,3,2
Max Muncy,3B,571970,2021,vs LHP,78,160,134,37,4,1,11,27,20,26,0,0.276,0.394,0.567,0.961,0.268,76,0,0,6,1
Max Muncy,3B,571970,2021,vs RHP,132,432,363,87,22,1,25,67,63,94,0,0.24,0.359,0.512,0.871,0.253,186,1,0,5,4
Max Muncy,3B,571970,2022,vs LHP,82,146,118,21,4,0,6,22,22,29,0,0.178,0.315,0.364,0.679,0.174,43,3,0,3,0
Max Muncy,3B,571970,2022,vs RHP,130,419,346,70,18,1,15,47,68,112,0,0.202,0.334,0.39,0.724,0.248,135,3,0,2,1
Max Muncy,3B,571970,2023,vs LHP,87,171,148,23,0,0,11,26,17,40,0,0.155,0.263,0.378,0.641,0.122,56,1,0,5,0
Max Muncy,3B,571970,2023,vs RHP,124,408,334,79,17,1,25,79,68,113,0,0.237,0.363,0.518,0.881,0.269,173,5,0,1,4
Max Muncy,3B,571970,2024,vs LHP,47,76,64,11,3,0,5,7,7,22,0,0.172,0.289,0.453,0.742,0.158,29,1,0,4,0
Max Muncy,3B,571970,2024,vs RHP,71,217,173,44,14,0,10,41,38,55,0,0.254,0.382,0.509,0.891,0.301,88,5,0,1,3
Max Muncy,3B,571970,2025,vs LHP,51,80,70,11,2,0,3,10,7,22,0,0.157,0.25,0.314,0.564,0.174,22,1,0,2,0
Max Muncy,3B,571970,2025,vs RHP,97,308,243,65,8,2,16,57,57,61,0,0.267,0.409,0.514,0.923,0.288,125,4,0,4,2
Miguel Rojas,2B,500743,2015,vs LHP,14,26,24,3,1,0,0,1,1,4,0,0.125,0.16,0.167,0.327,0.15,4,0,1,0,0
Miguel Rojas,2B,500743,2015,vs RHP,52,131,118,37,6,1,1,16,10,12,0,0.314,0.362,0.407,0.769,0.336,48,2,1,0,1
Miguel Rojas,2B,500743,2016,vs LHP,37,59,57,16,4,0,1,4,1,6,0,0.281,0.293,0.404,0.697,0.3,23,0,1,0,0
Miguel Rojas,2B,500743,2016,vs RHP,79,155,137,32,8,0,0,10,10,21,0,0.234,0.287,0.292,0.579,0.271,40,2,5,1,2
Miguel Rojas,2B,500743,2017,vs LHP,47,84,74,19,7,1,0,9,8,8,0,0.257,0.333,0.378,0.711,0.284,28,1,0,1,1
Miguel Rojas,2B,500743,2017,vs RHP,70,222,198,60,9,1,1,17,19,24,0,0.303,0.371,0.374,0.745,0.339,74,1,1,3,4
Miguel Rojas,2B,500743,2018,vs LHP,67,131,119,28,3,0,3,13,9,12,0,0.235,0.298,0.336,0.634,0.238,40,1,0,2,1
Miguel Rojas,2B,500743,2018,vs RHP,137,397,369,95,10,0,8,40,15,57,0,0.257,0.297,0.35,0.647,0.283,129,3,2,7,1
Miguel Rojas,2B,500743,2019,vs LHP,67,150,138,41,6,0,3,14,10,11,0,0.297,0.347,0.406,0.753,0.304,56,1,0,1,2
Miguel Rojas,2B,500743,2019,vs RHP,120,376,345,96,23,1,2,32,22,51,0,0.278,0.325,0.368,0.693,0.318,127,4,1,4,0
Miguel Rojas,2B,500743,2020,vs LHP,18,39,36,18,6,1,2,8,2,1,0,0.5,0.538,0.889,1.427,0.485,32,0,0,1,0
Miguel Rojas,2B,500743,2020,vs RHP,38,104,89,20,4,0,2,12,14,17,0,0.225,0.337,0.337,0.674,0.257,30,0,0,1,2
